BUILDER_NAME;INPUT_FILE;OUTPUT_FILE;GRID_SIZE;ISO_LEVEL;FIELD_ELEMENTS;NUM_THREADS;ELAPSED_TIME;TOTAL_TRIANGLES;OUTPUT_SIZE
Octree;/home/xzbori20/avs/proj2/scripts/../data/benchmark/160.pts;;64;0.15;160;8;67;92648;
Octree;/home/xzbori20/avs/proj2/scripts/../data/benchmark/320.pts;;64;0.15;320;8;69;67036;
Octree;/home/xzbori20/avs/proj2/scripts/../data/benchmark/642.pts;;64;0.15;642;8;75;61952;
Octree;/home/xzbori20/avs/proj2/scripts/../data/benchmark/010.pts;;64;0.15;10;16;7;7680;
Octree;/home/xzbori20/avs/proj2/scripts/../data/benchmark/020.pts;;64;0.15;20;16;13;13016;
Octree;/home/xzbori20/avs/proj2/scripts/../data/benchmark/040.pts;;64;0.15;40;16;27;27344;
Octree;/home/xzbori20/avs/proj2/scripts/../data/benchmark/080.pts;;64;0.15;80;16;50;53520;
Octree;/home/xzbori20/avs/proj2/scripts/../data/benchmark/160.pts;;64;0.15;160;16;67;92648;
Octree;/home/xzbori20/avs/proj2/scripts/../data/benchmark/320.pts;;64;0.15;320;16;73;67036;
Octree;/home/xzbori20/avs/proj2/scripts/../data/benchmark/642.pts;;64;0.15;642;16;75;61952;
Octree;/home/xzbori20/avs/proj2/scripts/../data/benchmark/010.pts;;64;0.15;10;32;134;7680;
Octree;/home/xzbori20/avs/proj2/scripts/../data/benchmark/020.pts;;64;0.15;20;32;454;13016;
Octree;/home/xzbori20/avs/proj2/scripts/../data/benchmark/040.pts;;64;0.15;40;32;308;27344;
Octree;/home/xzbori20/avs/proj2/scripts/../data/benchmark/080.pts;;64;0.15;80;32;490;53520;
Octree;/home/xzbori20/avs/proj2/scripts/../data/benchmark/160.pts;;64;0.15;160;32;999;92648;
Octree;/home/xzbori20/avs/proj2/scripts/../data/benchmark/320.pts;;64;0.15;320;32;578;67036;
Octree;/home/xzbori20/avs/proj2/scripts/../data/benchmark/642.pts;;64;0.15;642;32;246;61952;
